ซีนที่ (Scene No),ช่วงเวลา (Time),ความยาว (Duration),คิวเสียง (Lyric Cue),ภาพเหตุการณ์ (Description),ประเภทช็อต (Shot Type),มุมกล้อง (Camera Angle),การจัดแสง (Lighting),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ),ตัวละครในซีน (Characters),สถานที่ถ่ายทำ (Location)
1,0:00 - 0:10,10,[Intro] (ดนตรีนำ),น้องโฮมมี่ (Homey) ยืนโยกตัวอย่างร่าเริงตามจังหวะเพลงบนพื้นหลังสีฟ้าพาสเทลคลีนๆ มีตัวโน้ตดนตรี 3 มิติสีสันสดใสลอยละล่องรอบตัว,Wide Shot,Eye-level,"Bright studio lighting, soft shadows, warm fill light.","`A wide shot of Homey, a small cute monkey character wearing a red and white striped t-shirt under dark blue denim overalls, dancing and swaying happily. The background is a clean, solid light pastel blue studio backdrop. Whimsical 3D colorful musical notes float in the air around him. Modern Disney Pixar 3D animation style, clay textures, soft studio lighting, highly detailed, 16:9 aspect ratio.`","`Slow camera tracking left to right (0.2 units/sec) as Homey does a joyful side-to-side step dance, waving his hands. The 3D musical notes gently bounce and rotate in the air. No text, no subtitles, no words, clean video output.`",Homey,Pastel Blue Studio
2,0:10 - 0:20,10,0:18 ช้าง ช้าง ช้าง น้องเคยเห็นช้างรึเปล่า,พี่ช้าง (Elly) ค่อยๆ โผล่มาจากด้านข้างพร้อมรอยยิ้มกว้างโบกงวงไปมาทักทาย โฮมมี่กระโดดชี้ไปทางพี่ช้างด้วยความตื่นเต้น บนพื้นหลังสีเหลืองพาสเทล,Medium Shot,Eye-level,"Warm studio lighting, soft rim light highlighting Elly's bulky shape.","`Medium shot of Homey, the cute little monkey, pointing excitedly at Elly (Big Elephant), a friendly, chubby blue-gray elephant wearing a bright orange knitted scarf. Elly smiles warmly and waves his long trunk. The background is a solid light pastel yellow studio backdrop. Disney Pixar 3D animation style, clay textures, warm studio lighting, soft shadows, highly detailed, 16:9 aspect ratio.`","`Camera pans slightly right to follow Homey's pointing hand. Elly gently raises and wiggles his trunk, blinking his large eyes. Homey bounces up and down in excitement. No text, no subtitles, no words, clean video output.`","Homey, Elly",Pastel Yellow Studio
3,0:20 - 0:30,10,0:22 ช้างมันตัวโตไม่เบา จมูกยาวยาวเรียกว่างวง / 0:26 มีเขี้ยวใต้งวงเรียกว่างา,ซูมเข้าใกล้พี่ช้าง (Elly) ที่กำลังเอามือจับงวงยาวและชี้ให้เห็นงาสีขาวครีมคู่สวยข้างล่างงวง โฮมมี่ทำหน้าตื่นตาตื่นใจมองงาช้าง บนพื้นหลังสีชมพูพาสเทล,Close-up,Slight low-angle focusing on Elly's trunk and tusks.,"Soft key light, volumetric studio lighting, highlighting the smooth texture of the tusks.","`Close-up shot of Elly the blue-gray elephant, pointing to his long trunk and displaying his beautiful cream-colored tusks. Homey the little monkey is in the lower corner, looking up with wide, amazed eyes. The background is a solid light pastel pink studio backdrop. Disney Pixar 3D animation style, clay render, soft studio lighting, subsurface scattering on the tusks, highly detailed, 16:9 aspect ratio.`","`Slow camera zoom in (0.2x zoom factor) on Elly's trunk and tusks. Elly gently strokes his trunk, and the tusks catch a soft sparkle highlight. Homey's mouth opens wide in awe. No text, no subtitles, no words, clean video output.`","Homey, Elly",Pastel Pink Studio
4,0:30 - 0:40,10,0:26 มีหูมีตา / 0:30 หางยาว / 0:33 ช้าง ช้าง ช้าง...,พี่ช้าง (Elly) หันตัวกึ่งโปรไฟล์เพื่อโชว์หูพับขนาดใหญ่ขยับไปมา ดวงตากลมวิบวับ และส่ายหางยาวติดพู่สีน้ำเงินเข้ม โฮมมี่เลียนแบบขยับหูทำท่าตลก,Medium Wide Shot,Low-angle,"Bright studio lighting, rim light outlining Elly's back and tail.","`Medium wide shot of Elly the big blue-gray elephant from a side-profile view, flaring his large floppy ears and wagging his long tail with a dark tuft. Homey the monkey stands nearby, jokingly placing his hands beside his ears to mimic large ears, laughing. The background is a solid light pastel green studio backdrop. Disney Pixar 3D animation style, clay textures, soft studio lighting, highly detailed, 16:9 aspect ratio.`","`Elly wags his tail from side to side and flaps his ears slowly twice. Homey wiggles his hands beside his ears while hopping on one foot. Camera maintains a static medium wide frame. No text, no subtitles, no words, clean video output.`","Homey, Elly",Pastel Green Studio
5,0:40 - 0:50,10,0:37 ช้างมันตัวโตไม่เบา จมูกยาวยาวเรียกว่างวง / 0:41 มีเขี้ยวใต้งวงเรียกว่างา,พ่อยีราฟ (Dad) และแม่หมี (Mom) เข้ามาร่วมในเฟรม ยืนข้างพี่ช้าง (Elly) พ่อยีราฟตัวสูงใหญ่ยืนยิ้มแย้ม แม่หมีปรบมือตามจังหวะชื่นชมงวงและงาสวยๆ ของพี่ช้าง บนพื้นหลังสีครีมพาสเทล,Wide Shot,Eye-level,"Even studio lighting, bright fill light, making the colors of Dad's green polo and Mom's pink cardigan pop.","`Wide shot of Dad (the tall giraffe in a green polo shirt) and Mom (the gentle brown bear in a pink cardigan) standing happily next to Elly the big blue-gray elephant. Mom is clapping her hands with a warm smile, and Dad is smiling warmly. The background is a solid light pastel cream studio backdrop. Disney Pixar 3D animation style, clay textures, even studio lighting, soft shadows, highly detailed, 16:9 aspect ratio.`","`Mom claps her hands rhythmically. Dad sways gently from side to side. Elly nods his head and winks at the camera. Slow camera dolly back (0.3 units/sec) to keep all three in frame. No text, no subtitles, no words, clean video output.`","Elly, Dad, Mom",Pastel Cream Studio
6,0:50 - 1:00,10,0:45 หางยาว / 0:48 ช้าง ช้าง ช้าง ช้าง ช้าง น้องเคยเห็นช้างรึเปล่า,น้องโฮมมี่ (Homey) ปีนขึ้นไปนั่งบนหลังพ่อยีราฟ (Dad) โบกมือหยอกล้อกับคุณยายเต่า (Granny) ที่เพิ่งเดินเข้ามาในฉาก คลอเคลียรอบตัวพี่ช้าง บนพื้นหลังสีม่วงพาสเทล,Wide Shot,Slight low-angle,"Warm, soft lighting with light purple fill, cozy studio atmosphere.","`Wide shot of Homey the monkey sitting on the shoulders of Dad the tall giraffe, waving happily. Granny (the elderly turtle wearing round glasses and a pink floral headscarf) walks in from the side, smiling and holding a small walking stick. Elly the blue-gray elephant is in the background. The background is a solid light pastel purple studio backdrop. Disney Pixar 3D animation style, clay textures, soft studio lighting, highly detailed, 16:9 aspect ratio.`","`Homey waves his arms enthusiastically while sitting on Dad. Dad smiles and nods. Granny walks slowly, waving her hand, and Elly sways in the background. Camera slowly tracks from right to left. No text, no subtitles, no words, clean video output.`","Homey, Elly, Dad, Granny",Pastel Purple Studio
7,1:00 - 1:10,10,0:52 ช้างมันตัวโตไม่เบา จมูกยาวยาวเรียกว่างวง / 1:04 ช้าง ช้าง ช้าง...,พี่ช้าง (Elly) ใช้งวงยาวพ่นลูกบอลฟองสบู่สี่รุ้งเรืองแสงออกมาเป็นจำนวนมาก โฮมมี่และคุณยายเต่าต่างมองดูฟองสบู่เหล่านั้นอย่างชื่นชม บนพื้นหลังสีฟ้าอ่อน,Medium Close-up,Eye-level,Iridescent glow from the rainbow bubbles casting colorful reflections on Elly and Homey.,"`Medium close-up shot of Elly the blue-gray elephant blowing a stream of magical, glowing rainbow bubbles from his long trunk. Homey the monkey and Granny the turtle look at the floating bubbles with eyes full of wonder. The background is a solid light pastel blue studio backdrop. Disney Pixar 3D animation style, clay textures, magical bubble reflections, soft studio lighting, highly detailed, 16:9 aspect ratio.`","`Magical rainbow bubbles float gently upward, swaying and popping with subtle colorful particle effects. Elly sways his trunk as he blows more bubbles. Homey tries to reach out and touch one. No text, no subtitles, no words, clean video output.`","Homey, Elly, Granny",Pastel Light Blue Studio
8,1:10 - 1:20,10,1:08 ช้างมันตัวโตไม่เบา จมูกยาวยาวเรียกว่างวง / 1:12 มีเขี้ยวใต้งวงเรียกว่างา,โฮมมี่เล่นสนุกโดยการพยายามเอื้อมไปแตะงาและงวงของพี่ช้าง (Elly) อย่างระมัดระวัง โดยมีแม่หมี (Mom) ยืนดูแลอยู่ใกล้ๆ และส่งยิ้มอ่อนโยน บนพื้นหลังสีชมพูอ่อน,Close-up,Eye-level,"Warm and gentle lighting, focusing on the loving interaction between characters.","`Close-up shot of Homey the monkey gently reaching out his small hand to touch Elly's long blue-gray trunk. Mom the brown bear stands close behind Homey with an affectionate, protective smile. The background is a solid light pastel pink studio backdrop. Disney Pixar 3D animation style, clay textures, soft warm studio lighting, highly detailed, 16:9 aspect ratio.`","`Homey's hand slowly moves to touch Elly's trunk, which gently curls in response. Mom places a hand on Homey's back. Camera does a slow pan down to focus on the touch. No text, no subtitles, no words, clean video output.`","Homey, Elly, Mom",Pastel Pink Studio
9,1:20 - 1:30,10,1:16 หางยาว / 1:21 ช้าง ช้าง ช้าง... / 1:25 ช้างมันตัวโตไม่เบา,ทุกคนยืนเรียงกันเป็นแถวหน้ากระดานเต้นท่า 'ส่ายหางช้าง' หมุนสะโพกพร้อมเต้นไปตามจังหวะกลอง บนพื้นหลังสีเหลืองทองพาสเทล,Wide Shot,Straight-on eye-level,"Bright, energetic stage lighting with soft colored spots (pink, cyan) on the floor.","`Wide shot of the Homey family (Homey, Elly the elephant, Dad the giraffe, Mom the bear, and Granny the turtle) standing in a line, back-facing slightly to show them wagging their tails and hips in a synchronized dance. The background is a solid light pastel yellow studio backdrop. Disney Pixar 3D animation style, clay textures, bright cheerful studio lighting, soft shadows, highly detailed, 16:9 aspect ratio.`","`The entire group shakes their hips and tails in sync with the beat. Elly wags his tail, Homey hops and wiggles his waist, and Dad does a gentle neck bob. Camera does a slow zoom out (0.2x zoom factor). No text, no subtitles, no words, clean video output.`","Homey, Elly, Dad, Mom, Granny",Pastel Yellow-Gold Studio
10,1:30 - 1:40,10,1:29 มีเขี้ยวใต้งวงเรียกว่างา มีหูมีตาหางยาว,พี่ช้าง (Elly) และน้องโฮมมี่ (Homey) กอดคอกันเต้นรำหมุนเป็นวงกลมบนพื้นอย่างสนุกสนาน คุณยายเต่า (Granny) นั่งตบมือเชียร์ข้างๆ บนพื้นหลังสีเขียวพาสเทล,Medium Shot,High-angle looking down at the spinning characters.,"Cheerful spot lighting on Elly and Homey, soft ambient light.","`Medium shot from a high-angle looking down at Homey the monkey and Elly the elephant holding hands/trunk and spinning joyfully in a circle. Granny the turtle sits on a small stool nearby, clapping and smiling. The background is a solid light pastel green studio backdrop. Disney Pixar 3D animation style, clay textures, playful spot lighting, soft shadows, highly detailed, 16:9 aspect ratio.`","`Slow orbital camera rotation (45 degrees over 10 seconds) as Elly and Homey spin around on the spot, creating a subtle motion blur on their feet. Granny's head moves side to side watching them. No text, no subtitles, no words, clean video output.`","Homey, Elly, Granny",Pastel Green Studio
11,1:40 - 1:50,10,[Instrumental Break] (ช่วงดนตรีบรรเลง),พ่อยีราฟ (Dad) ย่อตัวลงเพื่อให้พี่ช้าง (Elly) ใช้งวงจับคอพ่อยีราฟเต้นรำด้วยกันอย่างครื้นเครง ส่วนแม่หมี (Mom) และโฮมมี่ (Homey) โยกเต้นอยู่รอบๆ บนพื้นหลังสีฟ้าพาสเทล,Wide Shot,Eye-level,"Balanced studio lighting, soft pastel highlights.","`Wide shot of Dad the giraffe bending his long neck as Elly the blue-gray elephant gently wraps his trunk around Dad's neck in a friendly dance pose. Mom the bear and Homey the monkey are dancing energetically on either side. The background is a solid light pastel blue studio backdrop. Disney Pixar 3D animation style, clay textures, soft studio lighting, highly detailed, 16:9 aspect ratio.`","`Dad and Elly sway their heads together in a wave-like motion. Homey and Mom do jump-claps. Camera smoothly slides left to right (0.3 units/sec). No text, no subtitles, no words, clean video output.`","Homey, Elly, Dad, Mom",Pastel Blue Studio
12,1:50 - 2:00,10,1:55 ช้าง ช้าง ช้าง ช้าง ช้าง น้องเคยเห็นช้างรึเปล่า (เปลี่ยนคีย์เป็น F Major),บรรยากาศฉลองเปลี่ยนคีย์เพลง! สีพื้นหลังเปลี่ยนเป็นสีส้มพาสเทลสว่างไสว พี่ช้าง (Elly) และน้องโฮมมี่ (Homey) สวมแว่นตากันลมสุดคูลสีสันสดใส เต้นสเต็ปที่เร็วและแข็งแรงขึ้น,Medium Shot,Low-angle,"Vibrant, bright festival lighting, warm orange glow.","`Medium shot from a low-angle of Homey the monkey and Elly the elephant both wearing colorful, cool aviator sunglasses, strike a funny pop-star dance pose. The background is a bright, solid light pastel orange studio backdrop. Disney Pixar 3D animation style, clay textures, vibrant warm festival studio lighting, highly detailed, 16:9 aspect ratio.`","`Elly and Homey point their fingers at the camera and nod their heads in rhythm to the new key of the music. Light particle sparkles burst around them. Camera does a rapid, subtle bounce to the beat. No text, no subtitles, no words, clean video output.`","Homey, Elly",Pastel Orange Studio
13,2:00 - 2:10,10,1:59 ช้างมันตัวโตไม่เบา จมูกยาวยาวเรียกว่างวง / 2:03 มีเขี้ยวใต้งวงเรียกว่างา,พี่ช้าง (Elly) ยืนขาเดียวเต้นทรงตัวอย่างน่าทึ่ง ท่ามกลางคุณแม่หมี (Mom) และพ่อยีราฟ (Dad) ที่ตกตะลึงอ้าปากค้างและตบมือให้อย่างเก่งกาจ บนพื้นหลังสีครีม,Wide Shot,Eye-level,"Bright spotlight focused on Elly, soft background fill.","`Wide shot of Elly the big blue-gray elephant balancing gracefully on one leg, holding a pose with his trunk up in the air. Dad the giraffe and Mom the bear watch in astonishment with wide eyes and open mouths, clapping. The background is a solid light pastel cream studio backdrop. Disney Pixar 3D animation style, clay textures, strong key spotlight on Elly, highly detailed, 16:9 aspect ratio.`","`Elly slowly wiggles his trunk while balancing. Mom and Dad applaud rapidly. Camera does a slow push in on Elly. No text, no subtitles, no words, clean video output.`","Elly, Dad, Mom",Pastel Cream Studio
14,2:10 - 2:20,10,2:07 มีหูมีตาหางยาว / 2:10 ช้าง ช้าง ช้าง... / 2:14 ช้างมันตัวโตไม่เบา,น้องโฮมมี่ (Homey) กระโดดข้ามหลังพี่ช้าง (Elly) ลอยตัวกลางอากาศทำท่าทางโพสเท่ๆ โดยมีคุณยายเต่า (Granny) มองด้วยความตกใจแต่ยิ้มเอ็นดู บนพื้นหลังสีเหลืองพาสเทล,Medium Shot,Low-angle looking up at Homey in the air.,"Fast dynamic lighting, high shutter speed effect, bright clear studio fill.","`Action medium shot of Homey the monkey mid-air, frozen in a cool jump pose directly over the back of Elly the big blue-gray elephant. Granny the turtle in the corner looks up holding her glasses in surprise. The background is a solid light pastel yellow studio backdrop. Disney Pixar 3D animation style, clay textures, bright crisp studio lighting, highly detailed, 16:9 aspect ratio.`","`Slow-motion camera pan following Homey as he floats in the air, landing softly on the other side of Elly. Elly winks at the camera. No text, no subtitles, no words, clean video output.`","Homey, Elly, Granny",Pastel Yellow Studio
15,2:20 - 2:30,10,2:18 จมูกยาวยาวเรียกว่างวง มีเขี้ยวใต้งวงเรียกว่างา / 2:24 ช้าง ช้าง ช้าง...,พี่ช้าง (Elly) คุกเข่าลงและใช้แผ่นหลังกลมโตเป็นสไลเดอร์ น้องโฮมมี่ (Homey) สไลด์ตัวลงมาจากหลังช้างอย่างสนุกสนานแลบลิ้นทะเล้น บนพื้นหลังสีม่วงอ่อน,Medium Shot,High-angle tracking down the slide.,Playful warm studio lighting with smooth shadows.,"`Medium shot of Elly the blue-gray elephant kneeling down, acting as a slide with his back. Homey the monkey is sliding down Elly's back with a big open-mouthed grin and arms raised in the air. The background is a solid light pastel purple studio backdrop. Disney Pixar 3D animation style, clay textures, soft studio lighting, highly detailed, 16:9 aspect ratio.`","`Homey slides down smoothly, landing on a soft virtual pillow at the bottom. Elly shakes his head and smiles. Camera tilts down following the slide. No text, no subtitles, no words, clean video output.`","Homey, Elly",Pastel Purple Studio
16,2:30 - 2:40,10,2:28 ช้างมันตัวโตไม่เบา จมูกยาวยาวเรียกว่างวง / 2:32 มีเขี้ยวใต้งวงเรียกว่างา,แม่หมี (Mom) และคุณยายเต่า (Granny) นั่งทำขนมปังรูปช้างจิ๋วน่ารักๆ พลางส่งให้พี่ช้าง (Elly) ที่แลบลิ้นรอหม่ำอย่างมีความสุข โฮมมี่ชะโงกหน้าเข้ามาร่วมแจม บนพื้นหลังสีครีม,Close-up,Eye-level,"Warm, cozy kitchen-studio lighting, soft volumetric rays.","`Close-up shot of Mom the bear and Granny the turtle holding out a cute little elephant-shaped cookie. Elly the blue-gray elephant stands close, waiting happily to eat it with his trunk extended. Homey the monkey peeks from behind Elly. The background is a solid light pastel cream studio backdrop. Disney Pixar 3D animation style, clay textures, warm cozy studio lighting, soft shadows, highly detailed, 16:9 aspect ratio.`","`Elly's trunk gently takes the cookie and brings it to his mouth. Homey claps and cheers. Granny and Mom smile warmly. No text, no subtitles, no words, clean video output.`","Homey, Elly, Mom, Granny",Pastel Cream Studio
17,2:40 - 2:50,10,2:36 มีหูมีตาหางยาว / 2:41 ช้าง ช้าง ช้าง... / 2:45 ช้างมันตัวโตไม่เบา,พ่อยีราฟ (Dad) แบมือส่งน้องโฮมมี่ (Homey) ขึ้นไปเต้นแท็ปแดนซ์บนหัวของพี่ช้าง (Elly) อย่างปลอดภัย ทุกคนในครอบครัวล้อมรอบและเต้นร่วมกัน บนพื้นหลังสีฟ้าอมเขียวพาสเทล,Wide Shot,Low-angle,"Grand festival stage lighting, colorful soft spots.","`Wide shot from a low-angle of Homey the monkey dancing happily on top of Elly the big blue-gray elephant's head. Dad the giraffe, Mom the bear, and Granny the turtle stand in a circle around Elly, dancing and clapping. The background is a solid light pastel teal studio backdrop. Disney Pixar 3D animation style, clay textures, grand stage lighting, colorful soft spots, highly detailed, 16:9 aspect ratio.`","`Homey taps his feet on Elly's head while balancing with his tail. Elly sways to the music. Dad, Mom, and Granny dance in a circle. Camera slowly rotates around the group. No text, no subtitles, no words, clean video output.`","Homey, Elly, Dad, Mom, Granny",Pastel Teal Studio
18,2:50 - 2:59,9,2:49 มีเขี้ยวใต้งวงเรียกว่างา มีหูมีตาหางยาว / 2:56 [Outro] (ดนตรีปิดท้าย),ฉากส่งท้ายสุดอบอุ่น! ทุกคนกอดกันเป็นกลุ่มกลมโตตรงกลางฉาก นำโดยพี่ช้าง (Elly) ใช้งวงยาวโอบล้อมทุกคนไว้ แล้วหันมาส่งยิ้มหวานโบกมือลาผู้ชม บนพื้นหลังสีส้ม-ชมพูพาสเทลละมุนตา,Wide Shot,Eye-level,"Warm, magical golden sunset glow, soft volumetric lighting fading slowly.","`Wide group shot of Elly the blue-gray elephant wrapping his long trunk around Homey the monkey, Dad the giraffe, Mom the bear, and Granny the turtle in a big warm group hug. They are all looking at the camera, smiling warmly and waving. The background is a soft, solid light pastel orange-pink gradient studio backdrop. Disney Pixar 3D animation style, clay textures, warm magical golden glow, soft volumetric lighting, highly detailed, 16:9 aspect ratio.`","`The characters hold their warm hug, waving their hands and smiling at the camera. The lighting slowly dims (fade out over 9 seconds) into soft twilight colors. No text, no subtitles, no words, clean video output.`","Homey, Elly, Dad, Mom, Granny",Pastel Sunset Studio
